,ID,commenterID,articleID,comment,likes,commentID,replyID,date,text,word_count,question_mark,exclamation_mark,start_digit,start_question,longest_word_len,avg_word_len,ratio_stopwords
291,5620,3343,275,"['so', 'the', 'uk', 'intend', 'to', 'replicate', 'the', 'eu', 'safety', 'standards', 'as', 'well', 'as', 'continue', 'to', 'trade', 'with', 'canada', 'as', 'per', 'the', 'existing', 'eu', 'trade', 'deal', 'pending', 'their', 'own', 'trade', 'deal', 'with', 'canada', 'brexiteers', 'must', 'have', 'just', 'discovered', 'that', 'cut', 'and', 'pasting', 'gives', 'them', 'their', '“', 'independence', '”']",93,9277473,9277473,5hours ago,"['uk', 'intend', 'replicate', 'eu', 'safety', 'standard', 'well', 'continue', 'trade', 'canada', 'per', 'exist', 'eu', 'trade', 'deal', 'pending', 'trade', 'deal', 'canada', 'brexiteers', 'must', 'discover', 'cut', 'paste', 'give', 'independence']",45,0,0,0,0,12,47.0,0.4043
292,5621,3400,275,"['ms', 'will', 'be', 'screwed', 'lol']",108,9277436,9277436,5hours ago,"['screw', 'lol']",5,0,0,0,0,7,5.0,0.4
293,5622,3257,275,"['kevinhunt101', 'they', 'might', 'have', 'to', 'shock', 'horror', 'buy', 'irish', 'products', 'to', 'survive']",82,9277634,9277436,3hours ago,"['kevinhunt101', 'might', 'shock', 'horror', 'buy', 'irish', 'product', 'survive']",12,0,1,0,0,12,12.0,0.3333
294,5623,3401,275,"['declan', 'mcardle', 'they', 'do', 'the', 'uk', 'supermarkets', 'are', 'the', 'biggest', 'purchaser', 'of', 'irish', 'agri', 'goods', 'tesco', 'is', 'the', 'biggest', 'purchaser', 'of', 'them', 'all', 'the', 'uk', 'isn', '’', 't', 'replicating', 'the', 'eu', 'it', 'is', 'reciprocating', 'so', 'if', 'we', 'ban', 'something', 'of', 'theirs', 'they', 'will', 'ban', 'the', 'same', 'produce', 'from', 'the', 'eu', 'buy', 'it', 'from', 'places', 'like', 'ukraine', 'instead', 'how', 'does', 'banning', 'uk', 'goods', 'entering', 'northern', 'ireland', 'help', 'our', 'farmers', 'then', 'we', 'wonder', 'why', 'the', 'uk', 'is', 'going', 'to', 'change', 'the', 'law', 'the', 'eu', 'was', 'always', 'going', 'to', 'hit', 'the', 'uk', 'it', 'still', 'hasn', '’', 't', 'got', 'over', 'them', 'leaving', 'the', 'eu']",18,9277949,9277436,1hour ago,"['declan', 'mcardle', 'uk', 'supermarket', 'big', 'purchaser', 'irish', 'agri', 'good', 'tesco', 'big', 'purchaser', 'uk', 'replicate', 'eu', 'reciprocate', 'ban', 'something', 'ban', 'produce', 'eu', 'buy', 'place', 'like', 'ukraine', 'instead', 'ban', 'uk', 'good', 'enter', 'northern', 'ireland', 'help', 'farmer', 'wonder', 'uk', 'go', 'change', 'law', 'eu', 'always', 'go', 'hit', 'uk', 'still', 'get', 'leave', 'eu']",99,1,1,0,0,13,100.0,0.5
295,5624,3387,275,"['don', '’', 't', 'mcdonald', '’', 's', 'and', 'burger', 'king', 'buy', 'a', 'lot', 'of', 'burgers', 'from', 'ireland', 'what', 'will', 'the', 'british', 'do', 'when', 'they', 'run', 'short']",49,9277500,9277500,4hours ago,"['mcdonald', 'burger', 'king', 'buy', 'lot', 'burger', 'ireland', 'british', 'run', 'short']",21,0,0,0,1,8,25.0,0.52
296,5625,3402,275,"['finbarr', 'walsh', 'cheap', 'south', 'american', 'meat']",92,9277504,9277500,4hours ago,"['finbarr', 'walsh', 'cheap', 'south', 'american', 'meat']",6,0,0,0,0,8,6.0,0.0
297,5626,3403,275,"['so', 'they', 'want', 'to', 'leave', 'because', 'they', 'don', '’', 't', 'like', 'our', 'rules', 'then', 'copy', 'our', 'rules', 'how', 'silly', 'is', 'that']",102,9277496,9277496,4hours ago,"['want', 'leave', 'like', 'rule', 'copy', 'rule', 'silly']",19,0,0,0,0,7,21.0,0.619
298,5627,3404,275,"['reality', 'bites']",41,9277467,9277467,5hours ago,"['reality', 'bite']",2,0,1,0,0,7,2.0,0.0
299,5628,3405,275,"['can', '’', 't', 'see', 'the', 'problem', 'as', 'eu', 'members', 'it', '’', 's', 'up', 'to', 'them', 'to', 'find', 'other', 'countries', 'in', 'the', 'block', 'to', 'accept', 'our', 'exports', 'don', '’', 't', 'they', 'know', 'there', '’', 's', 'a', 'ferry', 'from', 'roslare', 'to', 'leharve']",32,9277565,9277565,4hours ago,"['see', 'problem', 'eu', 'member', 'find', 'countries', 'block', 'accept', 'export', 'know', 'ferry', 'roslare', 'leharve']",32,1,0,0,0,9,40.0,0.575
300,5629,3379,275,"['margaret', 'doyle', 'no', 'they', 'don', '’', 't', 'because', 'there', '’', 's', 'not', 'it', '’', 's', 'to', 'cherbourg', 'at', 'least', 'i', 'hope', 'so', 'as', 'i', '’', 'm', 'on', 'my', 'way', 'to', 'cherbourg', 'to', 'get', 'home', 'for', 'the', 'toy', 'show']",21,9277687,9277565,3hours ago,"['margaret', 'doyle', 'cherbourg', 'least', 'hope', 'way', 'cherbourg', 'get', 'home', 'toy', 'show']",30,0,0,0,0,9,38.0,0.6053
301,5630,3406,275,"['the', 'great', 'sausage', 'famine', 'is', 'almost', 'upon', 'us']",42,9277479,9277479,5hours ago,"['great', 'sausage', 'famine', 'almost', 'upon', 'u']",8,0,0,0,0,7,8.0,0.25
302,5631,3407,275,"['already', 'we', 'are', 'seeing', 'tariffscostumes', 'duty', 'to', 'be', 'added', 'on', 'goods', 'purchased', 'in', 'the', 'uk', 'from', 'the', '1st', 'of', 'jan', 'onwards', 'this', 'will', 'affect', 'all', 'businesses', 'people', 'will', 'just', 'shop', 'elsewhere', 'addresspalanpostiehowitworks']",18,9277554,9277554,4hours ago,"['already', 'see', 'duty', 'add', 'good', 'purchase', 'uk', '1st', 'jan', 'onwards', 'affect', 'business', 'people', 'shop', 'elsewhere']",32,0,0,0,0,28,32.0,0.4688
303,5632,3408,275,"['is', 'foto', 'island', 'opened', 'does', 'anyone', 'know']",12,9277560,9277560,4hours ago,"['foto', 'island', 'open', 'anyone', 'know']",7,1,0,0,0,6,7.0,0.2857
304,5633,3409,275,"['britain', 'gets', 'a', 'large', 'portion', 'of', 'their', 'food', 'from', 'ireland', 'as', 'they', 'don', '’', 't', 'have', 'the', 'agricultural', 'industry', 'to', 'support', 'their', 'population', 'if', 'they', 'don', '’', 't', 'want', 'to', 'import', 'irish', 'produce', 'then', 'let', 'em', 'do', 'without', 'would', 'be', 'ironic', 'considering', 'their', 'past', 'policies', 'on', 'irish', 'exports', 'about', '170', 'years', 'ago']",11,9277955,9277955,1hour ago,"['britain', 'get', 'large', 'portion', 'food', 'ireland', 'agricultural', 'industry', 'support', 'population', 'want', 'import', 'irish', 'produce', 'let', 'em', 'without', 'would', 'ironic', 'consider', 'past', 'policy', 'irish', 'export', '170', 'year', 'ago']",48,0,0,0,0,12,52.0,0.4423
305,5634,3410,275,"['iceland', 'and', 'the', 'people', 'who', 'work', 'there', 'their', 'jobs', 'might', 'be', 'in', 'danger']",10,9277668,9277668,3hours ago,"['iceland', 'people', 'work', 'job', 'might', 'danger']",13,0,0,0,0,7,13.0,0.5385
306,5635,3411,276,"['the', 'prisoner', 'should', 'have', 'been', 'in', 'the', 'mental', 'hosp', 'but', 'there', 'was', 'no', 'room', 'he', 'had', 'to', 'be', 'pit', 'somewhere', 'secure', 'so', 'that', 'was', 'cloverhill', 'probably', 'put', 'in', 'a', 'padded', 'cell', 'for', 'his', 'own', 'safety', 'he', 'must', 'jave', 'been', 'violent', 'toward', 'staff', 'for', 'a', 'shield', 'to', 'be', 'used', 'the', 'poncho', 'was', 'given', 'as', 'suicide', 'was', 'probably', 'on', 'the', 'cards', 'and', 'clothing', 'would', 'have', 'been', 'used', 'for', 'this', 'are', 'the', 'prison', 'staff', 'meant', 'to', 'forcefully', 'dress', 'a', 'noncompliant', 'individual', 'what', 'are', 'prisons', 'to', 'do', 'when', 'they', 'have', 'a', 'problem', 'like', 'this', 'they', 'are', 'not', 'mental', 'health', 'facilities', 'and', 'prison', 'staff', 'are', 'not', 'psychiatric', 'nurses', 'the', 'prison', 'staff', 'do', 'their', 'best', 'and', 'still', 'get', 'slated', 'for', 'not', 'doing', 'a', 'job', 'they', 'shouldn', '’', 't', 'be', 'doing', 'anyway']",289,9277472,9277472,5hours ago,"['prisoner', 'mental', 'hosp', 'room', 'pit', 'somewhere', 'secure', 'cloverhill', 'probably', 'put', 'padded', 'cell', 'safety', 'must', 'jave', 'violent', 'toward', 'staff', 'shield', 'use', 'poncho', 'give', 'suicide', 'probably', 'card', 'clothing', 'would', 'use', 'prison', 'staff', 'mean', 'forcefully', 'dress', 'individual', 'prison', 'problem', 'like', 'mental', 'health', 'facility', 'prison', 'staff', 'psychiatric', 'nurse', 'prison', 'staff', 'best', 'still', 'get', 'slat', 'job', 'anyway']",123,1,0,0,0,12,125.0,0.568
307,5636,3412,276,"['kevk77', 'mentally', 'ill', 'means', 'in', 'this', 'case', 'scrote', 'not', 'having', 'his', 'pills', 'or', 'gear', 'rips', 'off', 'his', 'clothes', 'and', 'takes', 'a', 'dump', 'because', 'he', 'wants', 'to', 'annoy', 'the', 'prison', 'officers', 'who', 'have', 'to', 'clean', 'it']",98,9277524,9277472,4hours ago,"['kevk77', 'mentally', 'ill', 'mean', 'case', 'scrote', 'pill', 'gear', 'rip', 'clothes', 'take', 'dump', 'want', 'annoy', 'prison', 'officer', 'clean']",35,0,0,0,0,8,35.0,0.5143
